STATE/UT,rank,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total,Growth,Peak_year,category,Peak_val,Median
UTTAR PRADESH,1,86.0,5.0,5.0,4.0,0.0,5.0,2.0,17.0,41.0,114.0,682.0,682.0,1737.0,2208.0,2639.0,4971.0,6280,11416,11097,41991.0,11416.0,2019,High,11416.0,114.0
KARNATAKA,2,15.0,8.0,14.0,38.0,27.0,41.0,57.0,97.0,176.0,160.0,533.0,533.0,1020.0,1447.0,1101.0,3174.0,5839,12020,10741,37041.0,12012.0,2019,High,12020.0,176.0
MAHARASHTRA,3,13.0,17.0,21.0,27.0,36.0,50.0,39.0,161.0,246.0,393.0,907.0,907.0,1879.0,2195.0,2380.0,3604.0,3511,4967,5496,26849.0,5483.0,2020,High,5496.0,393.0
TELANGANA,4,,,,,,,,,,,,,703.0,687.0,593.0,1209.0,1205,2691,5024,12112.0,4431.0,2020,High,5024.0,1205.0
ASSAM,5,2.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,18.0,31.0,154.0,154.0,379.0,483.0,696.0,1120.0,2022,2231,3530,10828.0,3530.0,2020,High,3530.0,31.0
ANDHRA PRADESH,6,261.0,221.0,101.0,82.0,82.0,69.0,103.0,38.0,171.0,372.0,651.0,651.0,282.0,536.0,616.0,931.0,1207,1886,1899,10159.0,1861.0,2020,High,1899.0,282.0
RAJASTHAN,7,0.0,0.0,0.0,18.0,4.0,16.0,4.0,28.0,55.0,146.0,297.0,297.0,697.0,949.0,941.0,1304.0,1104,1762,1354,8976.0,1762.0,2019,High,1762.0,146.0
ODISHA,8,4.0,5.0,1.0,6.0,0.0,2.0,15.0,13.0,12.0,12.0,104.0,104.0,124.0,386.0,317.0,824.0,843,1485,1931,6188.0,1931.0,2020,High,1931.0,15.0
GUJARAT,9,250.0,29.0,126.0,155.0,158.0,3.0,33.0,36.0,55.0,67.0,77.0,77.0,227.0,242.0,362.0,458.0,702,784,1283,5124.0,1280.0,2020,High,1283.0,155.0
JHARKHAND,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,26.0,26.0,93.0,180.0,259.0,720.0,930,1095,1204,4566.0,1204.0,2020,Low,1204.0,26.0
BIHAR,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,139.0,139.0,114.0,242.0,309.0,433.0,374,1050,1512,4352.0,1512.0,2020,Low,1512.0,38.0
MADHYA PRADESH,12,0.0,0.0,0.0,0.0,5.0,164.0,11.0,17.0,35.0,103.0,342.0,342.0,289.0,231.0,258.0,490.0,740,602,699,4328.0,740.0,2018,Low,740.0,164.0
WEST BENGAL,13,0.0,0.0,0.0,0.0,6.0,4.0,2.0,23.0,60.0,57.0,342.0,342.0,355.0,398.0,478.0,568.0,335,524,712,4206.0,712.0,2020,Low,712.0,60.0
KERALA,14,4.0,1.0,2.0,3.0,12.0,38.0,67.0,71.0,156.0,245.0,383.0,383.0,450.0,290.0,283.0,320.0,340,307,426,3781.0,449.0,2014,Low,450.0,245.0
HARYANA,15,2.0,1.0,0.0,9.0,2.0,1.0,0.0,0.0,1.0,45.0,323.0,323.0,151.0,224.0,401.0,504.0,418,564,656,3625.0,656.0,2020,Low,656.0,45.0
TAMIL NADU,16,3.0,10.0,50.0,22.0,8.0,15.0,25.0,37.0,77.0,45.0,90.0,90.0,172.0,142.0,144.0,228.0,295,385,782,2620.0,779.0,2020,Low,782.0,77.0
PUNJAB,17,29.0,63.0,6.0,50.0,55.0,49.0,47.0,56.0,68.0,79.0,156.0,156.0,226.0,149.0,102.0,176.0,239,243,378,2327.0,372.0,2020,Low,378.0,79.0
DELHI,18,7.0,4.0,14.0,18.0,13.0,25.0,12.0,17.0,41.0,99.0,150.0,150.0,226.0,177.0,98.0,162.0,189,115,168,1685.0,222.0,2014,Low,226.0,98.0
CHHATTISGARH,19,0.0,0.0,0.0,46.0,28.0,57.0,20.0,50.0,50.0,78.0,101.0,101.0,123.0,103.0,90.0,171.0,139,175,297,1629.0,297.0,2020,Low,297.0,78.0
UTTARAKHAND,20,0.0,1.0,0.0,0.0,3.0,1.0,2.0,7.0,11.0,6.0,27.0,27.0,42.0,48.0,62.0,124.0,171,100,243,875.0,243.0,2020,Low,243.0,11.0
HIMACHAL PRADESH,21,99.0,87.0,0.0,0.0,0.0,0.0,6.0,6.0,17.0,12.0,28.0,28.0,38.0,50.0,31.0,56.0,69,76,98,701.0,99.0,2002,Low,99.0,28.0
JAMMU & KASHMIR,22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,46.0,46.0,37.0,34.0,28.0,63.0,73,73,120,542.0,120.0,2020,Low,120.0,14.0
MEGHALAYA,23,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,17.0,17.0,60.0,56.0,39.0,39.0,74,89,142,541.0,142.0,2020,Low,142.0,6.0
GOA,24,8.0,2.0,0.0,0.0,0.0,4.0,6.0,12.0,16.0,18.0,58.0,58.0,62.0,17.0,31.0,13.0,29,15,40,389.0,62.0,2014,Low,62.0,15.0
CHANDIGARH,25,2.0,1.0,1.0,2.0,2.0,1.0,9.0,4.0,3.0,10.0,11.0,11.0,55.0,77.0,26.0,32.0,30,23,17,317.0,76.0,2015,Low,77.0,10.0
MANIPUR,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,13.0,6.0,11.0,74.0,29,4,79,219.0,79.0,2020,Low,79.0,1.0
TRIPURA,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,5.0,13.0,8.0,7.0,20,20,34,135.0,34.0,2020,Low,34.0,0.0
A & N ISLANDS,28,15.0,16.0,5.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,18.0,18.0,13.0,6.0,3.0,3.0,7,2,5,123.0,18.0,2012,Low,18.0,5.0
ARUNACHAL PRADESH,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,10.0,10.0,18.0,6.0,4.0,1.0,7,8,30,112.0,30.0,2020,Low,30.0,3.0
MIZORAM,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,22.0,8.0,1.0,10.0,6,8,13,73.0,22.0,2014,Low,22.0,0.0
PUDUCHERRY,31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,5.0,1.0,0.0,2.0,5.0,14,4,10,49.0,14.0,2018,Low,14.0,1.0
DAMAN & DIU,32,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,3,3,18.0,7.0,2002,Low,7.0,0.0
SIKKIM,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,1.0,1.0,1,2,0,14.0,4.0,2011,Low,4.0,0.0
NAGALAND,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,2,8,14.0,8.0,2020,Low,8.0,0.0
LAKSHADWEEP,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,4,3,12.0,4.0,2018,Low,4.0,0.0
